status,message,source_path,output_path
converted,HEIC dosyası JPG'ye çevrildi.,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\train\images\IMG_1465_HEIC.rf.xk81l99Ezi2ZaRRqwhgv.HEIC,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\train\images\IMG_1465_HEIC.rf.xk81l99Ezi2ZaRRqwhgv.jpg
converted,HEIC dosyası JPG'ye çevrildi.,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\train\images\IMG_1466_HEIC.rf.hEuRWNogm0YhCeVaeJ6o.HEIC,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\train\images\IMG_1466_HEIC.rf.hEuRWNogm0YhCeVaeJ6o.jpg
converted,HEIC dosyası JPG'ye çevrildi.,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\train\images\IMG_1468_HEIC.rf.UalxYUvmhJKnhKyUujPk.HEIC,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\train\images\IMG_1468_HEIC.rf.UalxYUvmhJKnhKyUujPk.jpg
converted,HEIC dosyası JPG'ye çevrildi.,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\train\images\IMG_1469_HEIC.rf.jFrLQksTci77xYbWDsVa.HEIC,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\train\images\IMG_1469_HEIC.rf.jFrLQksTci77xYbWDsVa.jpg
converted,HEIC dosyası JPG'ye çevrildi.,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\train\images\IMG_1471_HEIC.rf.jGrGxRlhoRPxwA4eWUBw.HEIC,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\train\images\IMG_1471_HEIC.rf.jGrGxRlhoRPxwA4eWUBw.jpg
converted,HEIC dosyası JPG'ye çevrildi.,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\train\images\IMG_1473_HEIC.rf.fbvyF0Ho1WNnSj1bcsAS.HEIC,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\train\images\IMG_1473_HEIC.rf.fbvyF0Ho1WNnSj1bcsAS.jpg
converted,HEIC dosyası JPG'ye çevrildi.,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\train\images\IMG_1477_HEIC.rf.hNxupvYAhFqoodI9HwKG.HEIC,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\train\images\IMG_1477_HEIC.rf.hNxupvYAhFqoodI9HwKG.jpg
converted,HEIC dosyası JPG'ye çevrildi.,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\train\images\IMG_1480_HEIC.rf.wqdX1M4xlvxGra94G4T1.HEIC,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\train\images\IMG_1480_HEIC.rf.wqdX1M4xlvxGra94G4T1.jpg
converted,HEIC dosyası JPG'ye çevrildi.,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\train\images\IMG_1485_HEIC.rf.NXkcT9rlwWU0XNXt33cy.HEIC,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\train\images\IMG_1485_HEIC.rf.NXkcT9rlwWU0XNXt33cy.jpg
converted,HEIC dosyası JPG'ye çevrildi.,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\train\images\IMG_1487_HEIC.rf.Fix6VeOJdpBMrxVaNuPO.HEIC,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\train\images\IMG_1487_HEIC.rf.Fix6VeOJdpBMrxVaNuPO.jpg
converted,HEIC dosyası JPG'ye çevrildi.,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\train\images\IMG_1488_HEIC.rf.RTN3tMGXKqUxB4lL2ZeF.HEIC,C:\Users\eymen\Desktop\Mehmet Ersolak\OCR_Sinav_Crop_CRNN\data\roboflow_export\train\images\IMG_1488_HEIC.rf.RTN3tMGXKqUxB4lL2ZeF.jpg
